participant_num,count_0,count_1,count_2,count_3,count_4,total_frames
001,0,6,569,106,1,682
002,732,586,1201,5,0,2524
004,46,878,1595,5,0,2524
005,269,179,50,0,0,498
007,780,778,260,0,0,1818
008,406,1003,1958,245,0,3612
009,237,2202,1127,127,0,3693
010,248,1789,1760,11,0,3808
011,350,1345,1900,213,0,3808
013,339,409,275,1604,27,2654
014,249,63,747,1541,2,2602
016,249,213,2197,1,0,2660
017,4,39,2571,18,0,2632
018,4,39,2581,18,0,2642
019,138,1751,753,0,0,2642
020,291,1393,960,0,0,2644
021,110,1724,810,0,0,2644
022,130,670,591,1431,0,2822
023,133,85,250,2361,0,2829
024,145,73,266,2326,0,2810
025,71,94,125,2537,0,2827
026,39,34,2726,13,0,2812
027,13,2,2790,13,0,2818
028,95,52,2561,101,0,2809
029,545,611,1567,109,0,2832
030,171,723,1826,110,0,2830
031,200,992,1638,12,0,2842
032,27,984,1817,2,0,2830
033,251,813,1950,24,0,3038
034,433,622,1955,14,0,3024
035,21,765,2245,9,0,3040
036,6,276,2735,5,0,3022
037,139,2461,0,0,0,2600
038,100,3110,0,0,0,3210
039,526,769,1463,0,0,2758
040,246,2108,406,0,0,2760
041,202,1544,1030,0,0,2776
042,268,1424,975,1,0,2668
043,232,631,1807,0,0,2670
044,56,1311,1327,0,0,2694
045,641,1348,805,0,0,2794
046,158,506,2123,0,0,2787
047,74,745,1897,0,0,2716
048,30,458,2047,264,1,2800
049,16,1629,63,0,0,1708
050,4,2618,0,0,0,2622
051,411,2327,0,0,0,2738
052,61,2514,0,0,0,2575
053,301,2303,1,0,0,2605
054,960,864,2,0,0,1826
055,50,2562,0,0,0,2612
056,31,2573,0,0,0,2604
057,580,1649,719,6,0,2954
058,136,1181,1651,0,0,2968
059,7,1306,1634,21,0,2968
060,77,601,2273,21,0,2972
061,255,2317,50,0,0,2622
062,79,2537,0,0,0,2616
063,204,325,2513,613,3,3658
064,20,40,2802,0,0,2862
065,13,4,2805,25,0,2847
066,194,84,536,2832,236,3882
067,35,86,745,3010,15,3892
068,385,55,86,2192,1170,3888
069,77,57,567,2691,10,3402
070,60,27,93,2574,6,2760
071,60,37,299,2366,0,2762
072,28,53,198,2495,0,2774
073,9,11,144,2630,0,2794
074,314,1831,487,0,0,2632
075,382,1579,685,0,0,2646
076,25,1503,1066,6,0,2600
077,338,295,1884,19,0,2536
078,242,308,1863,137,0,2550
079,0,5,2523,0,0,2528
080,311,2157,0,0,0,2468
081,1026,1448,0,0,0,2474
082,168,401,1288,935,26,2818
083,88,247,2461,80,0,2876
084,92,89,2449,236,28,2894
085,6,1,2533,0,0,2540
086,0,1,2559,0,0,2560
087,4,5,2539,0,0,2548
088,123,2289,0,0,0,2412
089,184,2238,4,0,0,2426
090,5,2491,0,0,0,2496
091,17,2489,0,0,0,2506
092,165,560,1986,35,0,2746
093,57,228,2495,0,0,2780
094,348,825,1829,0,0,3002
095,274,213,2305,0,0,2792
100,350,2147,257,0,0,2754
101,36,1596,1100,0,0,2732
103,355,25,92,2930,0,3402
104,272,345,442,2405,0,3464
105,64,63,752,2555,0,3434
106,2,10,1404,1128,0,2544
107,8,0,45,2969,0,3022
108,10,9,26,2971,0,3016
109,8,7,27,2962,0,3004
110,0,2,39,2967,0,3008
111,52,465,2217,0,0,2734
112,16,1811,911,0,0,2738
113,153,727,1837,0,0,2717
114,128,433,2193,0,0,2754
115,129,1146,1262,0,0,2537
116,79,1433,1022,0,0,2534
117,925,949,699,1,0,2574
118,9,7,26,2742,0,2784
119,15,48,296,2200,215,2774
120,32,4,41,2725,0,2802
121,5,26,191,2532,2,2756
122,24,24,2642,0,0,2690
123,77,32,2563,6,0,2678
124,6,2,2696,0,0,2704
125,463,1274,1063,0,0,2800
126,235,1100,1467,0,0,2802
127,644,1580,570,0,0,2794
128,241,2301,0,0,0,2542
129,327,2215,0,0,0,2542
130,1,2459,0,0,0,2460
131,32,2397,31,0,0,2460
132,6,7,2599,0,0,2612
133,11,63,2533,5,0,2612
134,4,18,2579,11,0,2612
135,235,603,1848,0,0,2686
136,54,1042,1567,21,0,2684
137,33,1420,1233,0,0,2686
138,801,523,1360,0,0,2684
139,265,2130,5,0,0,2400
140,809,1592,0,0,0,2401
141,74,90,2394,12,0,2570
142,47,61,2238,224,0,2570
143,30,68,2423,49,0,2570
